Title,Author,Price,Release Date,Short Desc,Pages
The Art of Micro Frontends,Florian Rappl,$27.99 ,Jun-21,Apply your experience of web development with HTML and JavaScript to build micro frontends for large...,310 pages
Hands-On Data Analysis with Pandas - Second Edition,Stefanie Molin,$27.99 ,Apr-21,"Get to grips with pandas - a fast, versatile, and high-performance Python library for data discovery...",788 pages
Designing API-First Enterprise Architectures on Azure,Subhajit Chatterjee,$34.99 ,Aug-21,"Innovate at scale through well-architected API-led products that drive personalized, predictive, and...",290 pages
Microservices with Spring Boot and Spring Cloud - Second Edition,Magnus Larsson,$31.99 ,Jul-21,A step-by-step guide to creating and deploying production-quality microservices-based applications,774 pages
ASP.NET Core and Vue.js,Devlin Basilan Duldulao,$31.99 ,Jun-21,"A guide to building enterprise, cloud-ready full-stack web applications using TypeScript, Vue.js 3, ...",478 pages
Modern C++ Programming Cookbook - Second Edition,Marius Bancila,$34.99 ,Sep-20,A pragmatic recipe book for acquiring a comprehensive understanding of the complexities and core fun...,750 pages
Odoo 14 Development Cookbook - Fourth Edition,Parth Gajjar,$34.99 ,Dec-20,"With over 200 recipes covering real-world examples, take your Odoo development skills to the next le...",784 pages
Mastering Blockchain - Third Edition,Imran Bashir,$31.99 ,Aug-20,Develop a deeper understanding of what’s under the hood of blockchain with this technical reference ...,816 pages
Node.js Design Patterns - Third Edition,Mario Casciaro,$34.99 ,Jul-20,"Learn proven patterns, techniques, and tricks to take full advantage of the Node.js platform. Master...",660 pages
Learning Tableau 2020 - Fourth Edition,Joshua N. Milligan,$27.99 ,Aug-20,"Gain a solid foundation to learn Tableau, and develop the skills and abilities required for an advan...",576 pages
Learning C# by Developing Games with Unity 2020 - Fifth Edition,Harrison Ferrone,$27.99 ,Aug-20,Get to grips with the fundamentals of C# programming and Unity game development from the ground up w...,366 pages
Migrating Linux to Microsoft Azure,Rithin Skaria,$34.99 ,Jul-21,"Learn to move on-premises virtual machines running on Linux servers to Azure with expert guidance, b...",210 pages
Terraform Cookbook,Mikael Krief,$31.99 ,Oct-20,Discover how to manage and scale your infrastructure using Infrastructure as Code (IaC) with Terrafo...,366 pages
AWS for Solutions Architects,Alberto Artasanchez,$27.99 ,Feb-21,"Apply cloud design patterns to overcome real-world challenges by building scalable, secure, highly a...",450 pages
Learn Python Programming - Second Edition,Fabrizio Romano,$24.99 ,Jun-18,"Learn the fundamentals of Python (3.7) and how to apply it to data science, programming, and web dev...",508 pages
Interpretable Machine Learning with Python,Serg Masís,$34.99 ,Mar-21,"Understand the key aspects and challenges of machine learning interpretability, learn how to overcom...",736 pages
Data Engineering with Python,Paul Crickard,$27.99 ,Oct-20,"Build, monitor, and manage real-time data pipelines to create data engineering infrastructure effici...",356 pages
Machine Learning Engineering with MLflow,Natu Lauchande,$27.99 ,Aug-21,"Get up and running, and productive in no time with MLflow using the most effective machine learning ...",248 pages
Adversarial Tradecraft in Cybersecurity,Dan Borges,$27.99 ,Jun-21,Master cutting-edge techniques and countermeasures to protect your organization from live hackers. L...,246 pages
Mastering Kubernetes - Third Edition,Gigi Sayfan,$34.99 ,Jun-20,"Go beyond simply learning Kubernetes fundamentals and its deployment, and explore more advanced conc...",642 pages
Django 3 By Example - Third Edition,Antonio Melé,$34.99 ,Mar-20,Learn Django 3 with four end-to-end web projects ,568 pages
API Testing and Development with Postman,Dave Westerveld,$27.99 ,May-21,Explore the world of APIs and learn how to integrate them with production-ready applications using P...,340 pages
ASP.NET Core 5 and Angular - Fourth Edition,Valerio De Sanctis,$27.99 ,Jan-21,"Build robust modern web applications using .NET 5, Entity Framework Core, and Angular 11",746 pages
Google Cloud for DevOps Engineers,Sandeep Madamanchi,$31.99 ,Jul-21,Explore site reliability engineering practices and learn key Google Cloud Platform (GCP) services su...,482 pages
The Docker Workshop,Vincent Sesto,$27.99 ,Oct-20,Get started with Docker on your local machine and progress towards deploying useful applications in ...,792 pages
Responsive Web Design with HTML5 and CSS - Third Edition,Ben Frain,$27.99 ,Apr-20,Harness the latest capabilities of HTML5 and CSS to create a single UI that works flawlessly on mobi...,408 pages
Vue.js 3 By Example,John Au-Yeung,$27.99 ,Apr-21,Kick-start your Vue.js development career by learning the fundamentals of Vue 3 and its integration ...,320 pages
Hands-On Financial Trading with Python,Jiri Pik,$31.99 ,Apr-21,Discover how to build and backtest algorithmic trading strategies with Zipline,360 pages
Linux System Programming Techniques,Jack-Benny Persson,$27.99 ,May-21,Find solutions to all your problems related to Linux system programming using practical recipes for ...,432 pages
Modern Cryptography for Cybersecurity Professionals,Lisa Bock,$27.99 ,Jun-21,"As a cybersecurity professional, discover how to implement cryptographic techniques to help your org...",286 pages
C++ High Performance - Second Edition,Björn Andrist,$34.99 ,Dec-20,A comprehensive guide to help aspiring and professional C++ developers elevate the performance of th...,540 pages
Enterprise Application Development with C# 9 and .NET 5,Ravindra Akella,$34.99 ,Mar-21,Become a professional .NET developer by learning expert techniques for building enterprise-grade app...,610 pages
Kubernetes in Production Best Practices,Aly Saleh,$24.99 ,Mar-21,"Design, build, and operate scalable and reliable Kubernetes infrastructure for production",292 pages
Transformers for Natural Language Processing,Denis Rothman,$27.99 ,Jan-21,Take your NLP knowledge to the next level and become an AI language understanding expert by masterin...,384 pages
Mastering PostgreSQL 13 - Fourth Edition,Hans-Jürgen Schönig,$27.99 ,Nov-20,"Explore expert techniques such as advanced indexing and high availability to build scalable, reliabl...",476 pages
Mastering Docker - Fourth Edition,Russ McKendrick,$27.99 ,Oct-20,Unlock the full potential of the Docker containerization platform with this practical guide,568 pages
Exploring GPT-3,Steve Tingiris,$34.99 ,Aug-21,Get started with GPT-3 and the OpenAI API for natural language processing using JavaScript and Pytho...,296 pages
Modern Computer Vision with PyTorch,V Kishore Ayyadevara,$41.99 ,Nov-20,Get to grips with deep learning techniques for building image processing applications using PyTorch ...,824 pages
Getting Started with Google BERT,Sudharsan Ravichandiran,$27.99 ,Jan-21,"Kickstart your NLP journey by exploring BERT and its variants such as ALBERT, RoBERTa, DistilBERT, V...",352 pages
Interactive Dashboards and Data Apps with Plotly and Dash,Elias Dabbas,$34.99 ,May-21,Learn how to build web-based and mobile-friendly analytic apps and interactive dashboards with Pytho...,364 pages
AWS for System Administrators,Prashant Lakhera,$27.99 ,Feb-21,Take your AWS SysOps skills to the next level by learning infrastructure automation techniques using...,388 pages
Developing Modern Database Applications with PostgreSQL,Dr. Quan Ha Le,$31.99 ,Aug-21,"Get up to speed with core PostgreSQL tasks such as database administration, application development,...",440 pages
Learning Angular - Third Edition,Aristeidis Bampakos,$24.99 ,Sep-20,Uncover Angular’s potential for creating enterprise web applications—from setting up the environment...,430 pages
Azure DevOps Explained,Sjoukje Zaal,$27.99 ,Dec-20,"Implement real-world DevOps and cloud deployment scenarios using Azure Repos, Azure Pipelines, and o...",438 pages
Node.js Web Development - Fifth Edition,David Herron,$27.99 ,Jul-20,"Build scalable web applications using Node.js, Express.js, and the latest ECMAScript techniques, alo...",760 pages
Learn C Programming,Jeff Szuhay,$24.99 ,Jun-20,Get started with writing simple programs in C while learning the skills that will help you work with...,646 pages
Clean Code in Python - Second Edition,Mariano Anaya,$27.99 ,Jan-21,Tackle inefficiencies and errors the Pythonic way,422 pages
Exam Ref AZ-304 Microsoft Azure Architect Design Certification and Beyond,Brett Hargreaves,$31.99 ,Jul-21,Master the Microsoft Azure platform and prepare for the AZ-304 certification exam by learning the ke...,520 pages
Linux Kernel Programming Part 2 - Char Device Drivers and Kernel Synchronization,Kaiwan N Billimoria,$0 ,Mar-21,"Discover how to write high-quality character driver code, interface with userspace, work with chip m...",452 pages
Microsoft Power Apps Cookbook,Eickhel Mendoza,$31.99 ,Jan-21,"Practical recipes that go beyond official documentation to help you create custom solutions, automat...",376 pages
DevOps Culture and Practice with OpenShift,Tim Beattie,$62.99 ,Aug-21,A practical guide to making the best use of the OpenShift container platform based on the real-life ...,812 pages
Designing Professional Websites with Odoo Website Builder,Sainu Nannat,$27.99 ,Jun-21,"A practical guide to crafting elegant, intuitive, and customer-friendly websites to deliver a high-q...",390 pages
Learn PostgreSQL 12,Luca Ferrari,$31.99 ,Oct-20,"A comprehensive guide to building, managing, and securing scalable and reliable database and data wa...",650 pages
Malware Analysis Techniques,Dylan Barker,$34.99 ,Jun-21,"Analyze malicious samples, write reports, and use industry-standard methodologies to confidently tri...",282 pages
Hands-On Microservices with Spring Boot and Spring Cloud,Magnus Larsson,$27.99 ,Sep-19,Apply microservices patterns to build resilient and scalable distributed systems,668 pages
Data Modeling for Azure Data Services,Peter ter Braake,$34.99 ,Jul-21,Choose the right Azure data service and correct model design for successful implementation of your d...,428 pages
Coding Roblox Games Made Easy,Zander Brumbaugh,$17.99 ,Jan-21,Get up and running with Roblox development with the help of expert guidance for working with Roblox ...,238 pages
Software Architecture with C# 9 and .NET 5 - Second Edition,Gabriel Baptista,$34.99 ,Dec-20,Design scalable and high-performance enterprise applications using the latest features of C# 9 and ....,700 pages
Mastering Ubuntu Server - Third Edition,Jay LaCroix,$34.99 ,Dec-20,This is the third edition of the bestselling one-stop resource for sysadmins and DevOps professional...,702 pages
Amazon Redshift Cookbook,Shruti Worlikar,$34.99 ,Jul-21,Discover how to build a cloud-based data warehouse at petabyte-scale that is burstable and built to ...,384 pages
Forecasting Time Series Data with Facebook Prophet,Greg Rafferty,$31.99 ,Mar-21,Create and improve high-quality automated forecasts for time series data that have strong seasonal e...,270 pages
ASP.NET Core 5 for Beginners,Andreas Helland,$34.99 ,Dec-20,Learn how to build web applications efficiently using ASP.NET Core 5 with the C# programming languag...,602 pages
Game Development Patterns with Unity 2021 - Second Edition,David Baron,$24.99 ,Jul-21,Discover practical design propositions to resolve game programming challenges in Unity,246 pages
Extreme C,Kamran Amini,$39.99 ,Oct-19,"Push the limits of what C - and you - can do, with this high-intensity guide to the most advanced ca...",822 pages
Learn Computer Forensics,William Oettinger,$24.99 ,Apr-20,Get up and running with collecting evidence using forensics best practices to present your findings ...,368 pages
Practical Python Programming for IoT,Gary Smart,$27.99 ,Nov-20,Leverage Python and Raspberry Pi to create complex IoT applications capable of creating and detectin...,516 pages
HashiCorp Infrastructure Automation Certification Guide,Ravi Mishra,$31.99 ,Jul-21,"Leverage Terraform's capabilities to reuse code, write modules, automate deployments, and manage inf...",350 pages
Microsoft 365 and SharePoint Online Cookbook,Gaurav Mahajan,$27.99 ,Jun-20,"Embrace modern solutions to enhance collaboration, teamwork, robotic process automation, and busines...",810 pages
SQL for Data Analytics,Upom Malik,$20.99 ,Aug-19,Take your first steps to become a fully qualified data analyst by learning how to explore large rela...,386 pages
"DevOps Adoption Strategies: Principles, Processes, Tools, and Trends",Martyn Coupland,$24.99 ,Jul-21,Gain in-depth insight into DevOps relative to your field of expertise and implement effective DevOps...,264 pages
Kubernetes and Docker - An Enterprise Guide,Scott Surovich,$27.99 ,Nov-20,Apply Kubernetes beyond the basics of Kubernetes clusters by implementing IAM using OIDC and Active ...,526 pages
Supercharge Your Applications with GraalVM,A B Vijay Kumar,$34.99 ,Aug-21,Understand the internals and architecture of GraalVM with the help of hands-on experiments and gain ...,360 pages
Rust Web Programming,Maxwell Flitton,$27.99 ,Feb-21,Adopt the Rust programming language by learning how to build fully functional web applications and s...,394 pages
Python 3 Object-Oriented Programming - Third Edition,Dusty Phillips,$41.99 ,Oct-18,"Uncover modern Python with this guide to Python data structures, design patterns, and effective obje...",466 pages
Microsoft Power BI Quick Start Guide - Second Edition,Devin Knight,$20.99 ,Oct-20,An accessible fast paced introduction to all aspects of Power BI for new or aspiring BI professional...,294 pages
ASP.NET Core 5 and React - Second Edition,Carl Rippon,$27.99 ,Jan-21,"Build fully functional, cloud-ready, and professional web applications using the latest features in ...",568 pages
Mastering Windows Server 2019 - Third Edition,Jordan Krause,$34.99 ,Jul-21,Enhance and secure your datacenter with Microsoft Windows Server 2019,690 pages
An Atypical ASP.NET Core 5 Design Patterns Guide,Carl-Hugo Marcotte,$31.99 ,Dec-20,"A .NET developer’s guide to crafting robust, maintainable, and flexible web apps by leveraging C# 9 ...",762 pages
Engineering MLOps,Emmanuel Raj,$31.99 ,Apr-21,Get up and running with machine learning life cycle management and implement MLOps in your organizat...,370 pages
Drupal 9 Module Development - Third Edition,Daniel Sipos,$27.99 ,Aug-20,"Build and extend flexible Drupal sites and applications with this up-to-date, expert guide to Drupal...",626 pages
The Complete Coding Interview Guide in Java,Anghel Leonard,$31.99 ,Aug-20,Explore a wide variety of popular interview questions and learn various techniques for breaking down...,788 pages
Full-Stack React Projects - Second Edition,Shama Hoque,$24.99 ,Apr-20,"A practical, project-based guide to full-stack JavaScript web development combining the power of Rea...",716 pages
CMake Cookbook,Radovan Bast,$38.99 ,Sep-18,"Learn CMake through a series of task-based recipes that provide you with practical, simple, and read...",606 pages
Node Cookbook - Fourth Edition,Bethany Griggs,$24.99 ,Nov-20,Discover practical recipes to get to grips with Node.js concepts and programming models for deliveri...,512 pages
Mastering Tableau 2021 - Third Edition,Marleen Meier,$27.99 ,May-21,"Build, design, and improve advanced business intelligence solutions using Tableau’s latest features,...",792 pages
Blender 3D By Example - Second Edition,Oscar Baechler,$24.99 ,May-20,Get up and running with Blender 3D through a series of practical projects that will help you learn c...,658 pages
Flask Framework Cookbook - Second Edition,Shalabh Aggarwal,$20.99 ,Jul-19,Build state-of-the-art web applications quickly and efficiently using Flask and related technologies...,302 pages
React and React Native - Third Edition,Adam Boduch,$24.99 ,Apr-20,"Get up to speed with React, React Native, GraphQL and Apollo for building cross-platform native apps...",526 pages
"Windows Terminal Tips, Tricks, and Productivity Hacks",Will Fuqua,$20.99 ,Apr-21,Become an efficient command-line expert by harnessing the power of the new Microsoft Windows Termina...,254 pages
Python Machine Learning By Example - Third Edition,Yuxi (Hayden) Liu,$24.99 ,Oct-20,A comprehensive guide to get you up to speed with the latest developments of practical machine learn...,526 pages
Mastering QuickBooks 2021 - Second Edition,Crystalynn Shelton,$20.99 ,Jan-21,This second edition of the bestselling Mastering QuickBooks 2020 is updated and improved to focus on...,414 pages
Mastering Go - Second Edition,Mihalis Tsoukalos,$34.99 ,Aug-19,Dive deep into the Go language and become an expert Go developer,798 pages
Mastering Microsoft Dynamics 365 Business Central,Stefano Demiliani,$34.99 ,Dec-19,Develop customized business management solutions with the latest features of Microsoft Dynamics 365 ...,770 pages
Continuous Delivery with Docker and Jenkins - Second Edition,Rafa˜Ç Leszko,$31.99 ,May-19,"Create a complete Continuous Delivery process using modern DevOps tools such as Docker, Kubernetes, ...",350 pages
Hands-On Infrastructure Monitoring with Prometheus,Joel Bastos,$24.99 ,May-19,"Build Prometheus ecosystems with metric-centric visualization, alerting, and querying",442 pages
Mastering GitLab 12,Joost Evertse,$31.99 ,Aug-19,An expert guide to helping you use DevOps techniques with the latest GitLab version to optimize and ...,608 pages
Mastering Linux Device Driver Development,John Madieu,$31.99 ,Jan-21,Master the art of developing customized device drivers for your embedded Linux systems,646 pages
Rapid Application Development with AWS Amplify,Adrian Leung,$27.99 ,Jul-21,Get to grips with the AWS Amplify framework and use it to build scalable cloud-native progressive we...,344 pages
Practical Ansible 2,Daniel Oh,$27.99 ,Jun-20,Leverage the power of Ansible to gain complete control over your systems and automate application de...,410 pages
Mastering PyTorch,Ashish Ranjan Jha,$31.99 ,Feb-21,Master advanced techniques and algorithms for deep learning with PyTorch using real-world examples,450 pages
FPGA Programming for Beginners,Frank Bruno,$27.99 ,Mar-21,"Get started with FPGA programming using SystemVerilog, and develop real-world skills by building pro...",368 pages
Snowflake Cookbook,Hamid Mahmood Qureshi,$27.99 ,Feb-21,Develop modern solutions with Snowflake's unique architecture and integration capabilities; process ...,330 pages
Workflow Automation with Microsoft Power Automate,Aaron Guilmette,$31.99 ,Sep-20,Enhance your organization’s productivity by automating repetitive tasks and simplifying business wor...,302 pages
Dancing with Qubits,Robert S. Sutor,$34.99 ,Nov-19,Explore the principles and practicalities of quantum computing,516 pages
Scientific Computing with Python - Second Edition,Claus Führer,$27.99 ,Jul-21,"Leverage this example-packed, comprehensive guide for all your Python computational needs",392 pages
Zabbix 5 IT Infrastructure Monitoring Cookbook,Nathan Liefting,$31.99 ,Feb-21,"Discover practical recipes to help you efficiently monitor enterprise IT infrastructure for Windows,...",428 pages
Redux Made Easy with Rematch,Sergio Moreno,$24.99 ,Aug-21,Discover the power of Rematch and its plugins by building a real-world application from scratch,286 pages
How to Build Android Apps with Kotlin,Alex Forrester,$27.99 ,Feb-21,Master the fundamentals of Android programming and apply your skills to create scalable and reliable...,794 pages
Hands-On Network Programming with C,Lewis Van Winkle,$24.99 ,May-19,"A comprehensive guide to programming with network sockets, implementing internet protocols, designin...",478 pages
Architecting Google Cloud Solutions,Victor Dantas,$31.99 ,Apr-21,"Achieve your business goals and build highly available, scalable, and secure cloud infrastructure by...",472 pages
Beginning C++ Game Programming - Second Edition,John Horton,$27.99 ,Oct-19,Get to grips with programming techniques and game development using C++ libraries and Visual Studio ...,746 pages
Vue.js 3 Cookbook,Heitor Ramon Ribeiro,$31.99 ,Sep-20,Explore the new features of Vue.js 3 and discover best practices for building fault-tolerant and pro...,562 pages
PostgreSQL 13 Cookbook,Vallarapu Naga Avinash Kumar,$27.99 ,Feb-21,"Get to grips with building reliable, scalable and maintainable database solutions for enterprises an...",344 pages
Microsoft Power Platform Functional Consultant: PL-200 Exam Guide,Julian Sharp,$24.99 ,Dec-20,"Get up to speed with expert tips, techniques, and the latest insights to confidently take the PL-200...",648 pages
Modern Computer Architecture and Organization,Jim Ledin,$24.99 ,Apr-20,"A no-nonsense, practical guide to current and future processor and computer architectures, enabling ...",560 pages
Learn LLVM 12,Kai Nacke,$31.99 ,May-21,"Learn how to build and use all parts of real-world compilers, including the frontend, optimization p...",392 pages
The JavaScript Workshop,Joseph Labrecque,$27.99 ,Nov-19,Cut through the noise and get real results with a step-by-step approach to beginner JavaScript devel...,802 pages
Data Science Projects with Python - Second Edition,Stephen Klosterman,$24.99 ,Jul-21,Gain hands-on experience of Python programming with industry-standard machine learning techniques us...,432 pages
Implementing Azure DevOps Solutions,Henry Been,$31.99 ,Jun-20,A comprehensive guide to becoming a skilled Azure DevOps engineer,432 pages
Mastering Linux Security and Hardening - Second Edition,Donald A. Tevault,$31.99 ,Feb-20,A comprehensive guide to securing your Linux system against cyberattacks and intruders,666 pages
Learning OpenCV 4 Computer Vision with Python 3 - Third Edition,Joseph Howse,$24.99 ,Feb-20,"Updated for OpenCV 4 and Python 3, this book covers the latest on depth cameras, 3D tracking, augmen...",372 pages
Hands-on Kubernetes on Azure - Third Edition,Nills Franssens,$34.99 ,May-21,Understand the fundamentals of Kubernetes deployment on Azure with a learn-by-doing approach,528 pages
Distributed Data Systems with Azure Databricks,Alan Bernardo Palacio,$31.99 ,May-21,Quickly build and deploy massive data pipelines and improve productivity using Azure Databricks,414 pages
Python Natural Language Processing Cookbook,Zhenya Antic,$27.99 ,Mar-21,"Get to grips with solving real-world NLP problems, such as dependency parsing, information extractio...",284 pages
Limitless Analytics with Azure Synapse,Prashant Kumar Mishra,$34.99 ,Jun-21,Leverage the Azure analytics platform's key analytics services to deliver unmatched intelligence for...,392 pages
Python Automation Cookbook - Second Edition,Jaime Buelta,$27.99 ,May-20,"Get a firm grip on the core processes including browser automation, web scraping, Word, Excel, and G...",526 pages
Hands-On  RTOS with Microcontrollers,Brian Amos,$31.99 ,May-20,Build a strong foundation in designing and implementing real-time systems with the help of practical...,496 pages
Hands-On Mathematics for Deep Learning,Jay Dawani,$27.99 ,Jun-20,A comprehensive guide to getting well-versed with the mathematical techniques for building modern de...,364 pages
Mastering GUI Programming with Python,Alan D. Moore,$27.99 ,May-19,"An advanced guide to creating powerful high-performance GUIs for modern, media-rich applications in ...",542 pages
MongoDB Fundamentals,Amit Phaltankar,$24.99 ,Dec-20,Cut through the noise and get real results with a step-by-step approach to learning MongoDB Developm...,748 pages
The HTML and CSS Workshop,Lewis Coulson,$24.99 ,Nov-19,Cut through the noise and get real results with a step-by-step approach to learning HTML and CSS pro...,700 pages
Mastering Palo Alto Networks,Tom Piens,$31.99 ,Sep-20,Set up next-generation firewalls from Palo Alto Networks and get to grips with configuring and troub...,514 pages
Learn Kali Linux 2019,Glen D. Singh,$24.99 ,Nov-19,Learn about the latest ethical hacking tools and techniques in Kali Linux 2019 to perform penetratio...,550 pages
Hands-On Design Patterns and Best Practices with Julia,Tom Kwong,$27.99 ,Jan-20,"Design and develop high-performance, reusable, and maintainable applications using traditional and m...",532 pages
Mastering Windows Security and Hardening,Mark Dunkerley,$27.99 ,Jul-20,Enhance Windows security and protect your systems and servers from various cyber attacks,572 pages
Learn Robotics Programming - Second Edition,Danny Staple,$27.99 ,Feb-21,Develop an extendable smart robot capable of performing a complex series of actions with Python and ...,602 pages
Software Architect's Handbook,Joseph Ingeno,$34.99 ,Aug-18,A comprehensive guide to exploring software architecture concepts and implementing best practices,594 pages
Game Development Projects with Unreal Engine,Hammad Fozi,$27.99 ,Nov-20,Learn the tools and techniques of game design using a project-based approach with Unreal Engine 4 an...,822 pages
Cybersecurity: The Beginner's Guide,Dr. Erdal Ozkaya,$20.99 ,May-19,Understand the nitty-gritty of Cybersecurity with ease,396 pages
